Symbol_index_and_name: 0x1e25 -> perror
Symbol_index_and_name: 0x60c -> _IO_str_pbackfail
Symbol_index_and_name: 0xb9a -> __tzname
Symbol_index_and_name: 0xcb7 -> rpmatch
Symbol_index_and_name: 0x2bee -> statvfs64
Symbol_index_and_name: 0x3d4b -> __getlogin_r_chk
Symbol_index_and_name: 0xdeb -> __progname
Symbol_index_and_name: 0x2214 -> _IO_fprintf
Symbol_index_and_name: 0x39d7 -> pvalloc
Symbol_index_and_name: 0x1a19 -> dcgettext
Symbol_index_and_name: 0x20c -> registerrpc
Symbol_index_and_name: 0x2cdc -> _IO_wfile_overflow
Symbol_index_and_name: 0x2930 -> wcstoll
Symbol_index_and_name: 0x2e8f -> posix_spawnattr_setpgroup
Symbol_index_and_name: 0x3ef1 -> _environ
Symbol_index_and_name: 0x265d -> __arch_prctl
Symbol_index_and_name: 0x2dac -> qecvt_r
Symbol_index_and_name: 0x401b -> _IO_do_write
Symbol_index_and_name: 0x2dad -> ecvt_r
Symbol_index_and_name: 0x11e8 -> _IO_switch_to_get_mode
Symbol_index_and_name: 0x150e -> wcscat
Symbol_index_and_name: 0x3d12 -> getutxid
Symbol_index_and_name: 0x441 -> __key_gendes_LOCAL
Symbol_index_and_name: 0x37b4 -> wcrtomb
Symbol_index_and_name: 0xbdc -> __signbitf
Symbol_index_and_name: 0x168b -> _obstack
Symbol_index_and_name: 0x2fa6 -> getnetbyaddr
Symbol_index_and_name: 0x481 -> connect
Symbol_index_and_name: 0x1714 -> wcspbrk
Symbol_index_and_name: 0x3ea7 -> errno
Symbol_index_and_name: 0x21d1 -> __isnan
Symbol_index_and_name: 0x1858 -> envz_remove
Symbol_index_and_name: 0x40f6 -> _longjmp
Symbol_index_and_name: 0x21aa -> ngettext
Symbol_index_and_name: 0x4ce3 -> ldexpf
Symbol_index_and_name: 0x1b87 -> fileno_unlocked
Symbol_index_and_name: 0x34ea -> error_print_progname
Symbol_index_and_name: 0x36b1 -> __signbitl
Symbol_index_and_name: 0x2f1e -> in6addr_any
Symbol_index_and_name: 0x3c3c -> lutimes
Symbol_index_and_name: 0x5e2 -> dl_iterate_phdr
Symbol_index_and_name: 0x12e0 -> key_get_conv
Symbol_index_and_name: 0x2510 -> munlock
Symbol_index_and_name: 0x2ae7 -> getpwuid
Symbol_index_and_name: 0x4cb8 -> stpncpy
Symbol_index_and_name: 0x4c04 -> ftruncate64
Symbol_index_and_name: 0x180f -> sendfile
Symbol_index_and_name: 0x2f5e -> mmap64
Symbol_index_and_name: 0x7f7 -> getpwent_r
Symbol_index_and_name: 0x32e7 -> __nss_disable_nscd
Symbol_index_and_name: 0x23ff -> inet6_rth_init
Symbol_index_and_name: 0x1642 -> __libc_allocate_rtsig_private
Symbol_index_and_name: 0x1e5f -> ldexpl
Symbol_index_and_name: 0x3a86 -> inet6_opt_next
Symbol_index_and_name: 0x3602 -> ecb_crypt
Symbol_index_and_name: 0xdab -> ungetwc
Symbol_index_and_name: 0x1549 -> versionsort
Symbol_index_and_name: 0x2450 -> xdr_longlong_t
Symbol_index_and_name: 0x2a4d -> __wcstof_l
Symbol_index_and_name: 0x3a06 -> tfind
Symbol_index_and_name: 0x259e -> _IO_printf
Symbol_index_and_name: 0x3184 -> __argz_next
Symbol_index_and_name: 0x4584 -> wmemcpy
Symbol_index_and_name: 0x1486 -> posix_spawnattr_init
Symbol_index_and_name: 0x30a5 -> __fxstatat64
Symbol_index_and_name: 0x1d1 -> __sigismember
Symbol_index_and_name: 0x1aa6 -> get_current_dir_name
Symbol_index_and_name: 0x2f45 -> semctl
Symbol_index_and_name: 0x4fab -> fputc_unlocked
Symbol_index_and_name: 0x40e -> mbsrtowcs
Symbol_index_and_name: 0x114c -> verr
Symbol_index_and_name: 0xff3 -> getprotobynumber
Symbol_index_and_name: 0x231c -> unlinkat
Symbol_index_and_name: 0x4dea -> isalnum_l
Symbol_index_and_name: 0x2737 -> getsecretkey
Symbol_index_and_name: 0x417e -> __libc_thread_freeres
Symbol_index_and_name: 0x29a1 -> xdr_authdes_verf
Symbol_index_and_name: 0x2a98 -> _IO_2_1_stdin_
Symbol_index_and_name: 0x4000 -> __strtof_internal
Symbol_index_and_name: 0x28f5 -> closedir
Symbol_index_and_name: 0x1e72 -> initgroups
Symbol_index_and_name: 0x360c -> inet_ntoa
Symbol_index_and_name: 0x2a4f -> wcstof_l
Symbol_index_and_name: 0x3d7 -> __freelocale
Symbol_index_and_name: 0x4877 -> glob64
Symbol_index_and_name: 0x4d3b -> __fwprintf_chk
Symbol_index_and_name: 0x4e7a -> pmap_rmtcall
Symbol_index_and_name: 0xce7 -> putc
Symbol_index_and_name: 0x34a3 -> nanosleep
Symbol_index_and_name: 0x1ca -> fchdir
Symbol_index_and_name: 0x9a3 -> xdr_char
Symbol_index_and_name: 0x4c28 -> setspent
Symbol_index_and_name: 0x17e1 -> fopencookie
Symbol_index_and_name: 0x49e4 -> __isinf
Symbol_index_and_name: 0x4a9c -> __mempcpy_chk
Symbol_index_and_name: 0xabf -> _IO_wdefault_pbackfail
Symbol_index_and_name: 0x280a -> endaliasent
Symbol_index_and_name: 0x343c -> ftrylockfile
Symbol_index_and_name: 0x403e -> wcstoll_l
Symbol_index_and_name: 0x9ea -> isalpha_l
Symbol_index_and_name: 0x1eb0 -> feof_unlocked
Symbol_index_and_name: 0x4318 -> isblank
Symbol_index_and_name: 0x4a2c -> __nss_passwd_lookup2
Symbol_index_and_name: 0x2777 -> re_search_2
Symbol_index_and_name: 0x43d1 -> svc_sendreply
Symbol_index_and_name: 0x2e54 -> uselocale
Symbol_index_and_name: 0x4c98 -> getusershell
Symbol_index_and_name: 0x15c8 -> siginterrupt
Symbol_index_and_name: 0x43c8 -> getgrgid
Symbol_index_and_name: 0x852 -> epoll_wait
Symbol_index_and_name: 0x16d7 -> error
Symbol_index_and_name: 0x3a75 -> fputwc
Symbol_index_and_name: 0x48c2 -> mkfifoat
Symbol_index_and_name: 0x1348 -> get_kernel_syms
Symbol_index_and_name: 0x13d3 -> getrpcent_r
Symbol_index_and_name: 0x2a25 -> ftell
Symbol_index_and_name: 0x162e -> _res
Symbol_index_and_name: 0x34df -> __read_chk
Symbol_index_and_name: 0x4cac -> inet_ntop
Symbol_index_and_name: 0x2f05 -> strncpy
Symbol_index_and_name: 0xbc6 -> signal
Symbol_index_and_name: 0x2ca5 -> getdomainname
Symbol_index_and_name: 0x3065 -> __fgetws_unlocked_chk
Symbol_index_and_name: 0x429b -> __res_nclose
Symbol_index_and_name: 0x1ebe -> personality
Symbol_index_and_name: 0x1240 -> puts
Symbol_index_and_name: 0x3e55 -> __iswupper_l
Symbol_index_and_name: 0x1523 -> __vsprintf_chk
Symbol_index_and_name: 0x1f20 -> mbstowcs
Symbol_index_and_name: 0x40d7 -> __newlocale
Symbol_index_and_name: 0x29 -> getpriority
Symbol_index_and_name: 0x1cb5 -> getsubopt
Symbol_index_and_name: 0xed1 -> tcgetsid
Symbol_index_and_name: 0x4388 -> fork
Symbol_index_and_name: 0x4b5a -> putw
Symbol_index_and_name: 0x2f0e -> warnx
Symbol_index_and_name: 0x3d2c -> ioperm
Symbol_index_and_name: 0x118d -> _IO_setvbuf
Symbol_index_and_name: 0x147b -> pmap_unset
Symbol_index_and_name: 0xa82 -> _dl_mcount_wrapper_check
Symbol_index_and_name: 0xc67 -> iswspace
Symbol_index_and_name: 0x3982 -> isastream
Symbol_index_and_name: 0x3e8f -> vwscanf
Symbol_index_and_name: 0x21e8 -> sigprocmask
Symbol_index_and_name: 0x34ff -> _IO_sputbackc
Symbol_index_and_name: 0x35c9 -> fputws
Symbol_index_and_name: 0x25bd -> strtoul_l
Symbol_index_and_name: 0x1d98 -> in6addr_loopback
Symbol_index_and_name: 0x2d2d -> listxattr
Symbol_index_and_name: 0x1294 -> lcong48_r
Symbol_index_and_name: 0x2cd4 -> regfree
Symbol_index_and_name: 0x3416 -> inet_netof
Symbol_index_and_name: 0x2153 -> sched_getparam
Symbol_index_and_name: 0x1a1b -> gettext
Symbol_index_and_name: 0x01 -> waitid
Symbol_index_and_name: 0x9f4 -> sigfillset
Symbol_index_and_name: 0x10fd -> _IO_init_wmarker
Symbol_index_and_name: 0x3dac -> futimes
Symbol_index_and_name: 0x3e4d -> callrpc
Symbol_index_and_name: 0x129e -> gtty
Symbol_index_and_name: 0x4bec -> time
Symbol_index_and_name: 0x124f -> __libc_malloc
Symbol_index_and_name: 0x2fbb -> getgrent
Symbol_index_and_name: 0x3a50 -> ntp_adjtime
Symbol_index_and_name: 0x87f -> __wcsncpy_chk
Symbol_index_and_name: 0x1035 -> setreuid
Symbol_index_and_name: 0x1428 -> sigorset
Symbol_index_and_name: 0x31ff -> _IO_flush_all
Symbol_index_and_name: 0x3d22 -> readdir_r
Symbol_index_and_name: 0x936 -> drand48_r
Symbol_index_and_name: 0x1ed1 -> memalign
Symbol_index_and_name: 0x0c -> vfscanf
Symbol_index_and_name: 0x29ce -> endnetent
Symbol_index_and_name: 0x7ec -> fsetpos64
Symbol_index_and_name: 0x50c8 -> hsearch_r
Symbol_index_and_name: 0x2498 -> __stack_chk_fail
Symbol_index_and_name: 0x2a58 -> wcscasecmp
Symbol_index_and_name: 0x7af -> daemon
Symbol_index_and_name: 0x2c6b -> _IO_feof
Symbol_index_and_name: 0x3b4a -> key_setsecret
Symbol_index_and_name: 0xfda -> __lxstat
Symbol_index_and_name: 0x32a5 -> svc_run
Symbol_index_and_name: 0x131f -> _IO_wdefault_finish
Symbol_index_and_name: 0x9dc -> __wcstoul_l
Symbol_index_and_name: 0x3aef -> shmctl
Symbol_index_and_name: 0x4543 -> inotify_rm_watch
Symbol_index_and_name: 0x962 -> xdr_quad_t
Symbol_index_and_name: 0x3d33 -> _IO_fflush
Symbol_index_and_name: 0x1694 -> __mbrtowc
Symbol_index_and_name: 0x347d -> unlink
Symbol_index_and_name: 0xde3 -> putchar
Symbol_index_and_name: 0x1027 -> xdrmem_create
Symbol_index_and_name: 0x17ed -> pthread_mutex_lock
Symbol_index_and_name: 0x1633 -> fgets_unlocked
Symbol_index_and_name: 0x1fa9 -> putspent
Symbol_index_and_name: 0x4956 -> listen
Symbol_index_and_name: 0x2381 -> xdr_int32_t
Symbol_index_and_name: 0x2c24 -> msgrcv
Symbol_index_and_name: 0x3a2a -> __ivaliduser
Symbol_index_and_name: 0x18a9 -> getrpcent
Symbol_index_and_name: 0x220d -> select
Symbol_index_and_name: 0x3a68 -> __send
Symbol_index_and_name: 0x29c5 -> iswprint
Symbol_index_and_name: 0x1319 -> mkdir
Symbol_index_and_name: 0x4ac6 -> __iswalnum_l
Symbol_index_and_name: 0x2c3a -> ispunct_l
Symbol_index_and_name: 0x1ae2 -> __libc_fatal
Symbol_index_and_name: 0x1fc1 -> argp_program_version_hook
Symbol_index_and_name: 0x303e -> shmdt
Symbol_index_and_name: 0x18ea -> realloc
Symbol_index_and_name: 0x43fd -> __pwrite64
Symbol_index_and_name: 0x3fcb -> setstate
Symbol_index_and_name: 0x4633 -> fstatfs
Symbol_index_and_name: 0x3b58 -> _libc_intl_domainname
Symbol_index_and_name: 0x1d05 -> h_nerr
Symbol_index_and_name: 0x4028 -> if_nameindex
Symbol_index_and_name: 0x2cf6 -> btowc
Symbol_index_and_name: 0x1c61 -> __argz_stringify
Symbol_index_and_name: 0x21b3 -> _IO_ungetc
Symbol_index_and_name: 0x4f7 -> rewinddir
Symbol_index_and_name: 0x3563 -> _IO_adjust_wcolumn
Symbol_index_and_name: 0x4655 -> strtold
Symbol_index_and_name: 0x10d3 -> __iswalpha_l
Symbol_index_and_name: 0x1515 -> getaliasent_r
Symbol_index_and_name: 0x160a -> xdr_key_netstres
Symbol_index_and_name: 0x4859 -> fsync
Symbol_index_and_name: 0x5a -> clock
Symbol_index_and_name: 0x1199 -> putmsg
Symbol_index_and_name: 0x2d0f -> xdr_replymsg
Symbol_index_and_name: 0x3c70 -> sockatmark
Symbol_index_and_name: 0x4db5 -> towupper
Symbol_index_and_name: 0x3b03 -> abort
Symbol_index_and_name: 0x3dcf -> stdin
Symbol_index_and_name: 0x3111 -> xdr_u_short
Symbol_index_and_name: 0x3f3c -> _IO_flush_all_linebuffered
Symbol_index_and_name: 0x4844 -> strtoll
Symbol_index_and_name: 0x345b -> _exit
Symbol_index_and_name: 0x2126 -> wcstoumax
Symbol_index_and_name: 0x3ab9 -> svc_getreq_common
Symbol_index_and_name: 0x1a2e -> vsprintf
Symbol_index_and_name: 0x8cf -> sigwaitinfo
Symbol_index_and_name: 0x9ac -> moncontrol
Symbol_index_and_name: 0x2fdc -> socketpair
Symbol_index_and_name: 0x350d -> __res_iclose
Symbol_index_and_name: 0x4a7c -> div
Symbol_index_and_name: 0x4bf6 -> memchr
Symbol_index_and_name: 0x4b6c -> __strtod_l
Symbol_index_and_name: 0x4756 -> strpbrk
Symbol_index_and_name: 0x486c -> ether_aton
Symbol_index_and_name: 0x4fba -> memrchr
Symbol_index_and_name: 0xe4d -> tolower
Symbol_index_and_name: 0x8c8 -> __read
Symbol_index_and_name: 0x1c58 -> hdestroy
Symbol_index_and_name: 0x2dd7 -> cfree
Symbol_index_and_name: 0x48ae -> popen
Symbol_index_and_name: 0xe4c -> _tolower
Symbol_index_and_name: 0x22e5 -> ruserok_af
Symbol_index_and_name: 0x4b81 -> step
Symbol_index_and_name: 0x1a17 -> __dcgettext
Symbol_index_and_name: 0x2023 -> towctrans
Symbol_index_and_name: 0x3c16 -> lsetxattr
Symbol_index_and_name: 0x6a3 -> setttyent
Symbol_index_and_name: 0x4b45 -> __open64
Symbol_index_and_name: 0x3732 -> __bsd_getpgrp
Symbol_index_and_name: 0x2c06 -> getpid
Symbol_index_and_name: 0x130e -> getcontext
Symbol_index_and_name: 0x4fd9 -> kill
Symbol_index_and_name: 0xe7b -> strspn
Symbol_index_and_name: 0x35a2 -> pthread_condattr_init
Symbol_index_and_name: 0x1f00 -> program_invocation_name
Symbol_index_and_name: 0x4b31 -> imaxdiv
Symbol_index_and_name: 0x3ee2 -> svcraw_create
Symbol_index_and_name: 0x4b1f -> posix_fallocate64
Symbol_index_and_name: 0x3a37 -> __sched_get_priority_max
Symbol_index_and_name: 0x110 -> argz_extract
Symbol_index_and_name: 0x1669 -> bind_textdomain_codeset
Symbol_index_and_name: 0xb8c -> _IO_fgetpos64
Symbol_index_and_name: 0x1b4b -> strdup
Symbol_index_and_name: 0x3bcd -> fgetpos
Symbol_index_and_name: 0x40e8 -> creat64
Symbol_index_and_name: 0x22a9 -> getc_unlocked
Symbol_index_and_name: 0x4168 -> svc_exit
Symbol_index_and_name: 0x489 -> strftime
Symbol_index_and_name: 0x1555 -> inet_pton
Symbol_index_and_name: 0x1d8a -> __flbf
